entry	freq
A	1163191.0
Aal	38802.0
Aalabend	0.0
Aalabstieg	0.0
Aalangel	3.0
Aalangler	1.0
Aalansitz	0.0
Aalara	0.0
Aalart	17.0
Aalaufstieg	1.0
Aalauge	1.0
Aalausrüstung	0.0
Aalbach	49.0
Aalberg	28.0
Aalbesatz	201.0
Aalbestand	455.0
Aalbild	0.0
Aalbiss	0.0
Aalblut	8.0
Aalborg	4239.0
Aalbrut	24.0
Aalbrötchen	22.0
Aalbuch	0.0
Aalburg	122.0
Aalbändiger	0.0
Aaleisen	0.0
Aalertrag	2.0
Aaleskorte	7.0
Aalessen	83.0
Aalesund	97.0
Aalfang	939.0
Aalfeld	137.0
Aalfete	0.0
Aalfisch	3.0
Aalfischer	60.0
Aalfischerei	45.0
Aalfleisch	19.0
Aalfreund	0.0
Aalfutter	0.0
Aalfänger	14.0
Aalgeier	0.0
Aalgericht	0.0
Aalgewässer	0.0
Aalglocke	0.0
Aalglätte	18.0
Aalglöckchen	1.0
Aalhai	0.0
Aalhaken	1.0
Aalharke	1.0
Aalhaus	96.0
Aalhaut	20.0
Aalhändler	1.0
Aaljagd	0.0
Aaljahr	0.0
Aaljäger	1.0
Aalkasten	56.0
Aalkiste	20.0
Aalkopf	10.0
Aalkorb	7.0
Aalkraut	1.0
Aalkuhle	0.0
Aalköder	0.0
Aalkönig	303.0
Aallarve	53.0
Aalleder	16.0
Aalmann	0.0
Aalmenge	0.0
Aalmolch	2.0
Aalmutter	141.0
Aalnacht	7.0
Aalpastete	16.0
Aalpost	0.0
Aalprobe	2.0
Aalproblematik	0.0
Aalputzer	0.0
Aalrauch	10.0
Aalraupe	7.0
Aalrestaurant	0.0
Aalreuse	117.0
Aalrolle	0.0
Aalrute	5.0
Aalrückgang	0.0
Aalsack	0.0
Aalschere	0.0
Aalschleim	42.0
Aalschnur	49.0
Aalschutz	17.0
Aalsmeer	387.0
Aalspeicher	0.0
Aalspieß	0.0
Aalstar	35.0
Aalstecher	37.0
Aalstelle	0.0
Aalstich	0.0
Aalstraße	9.0
Aalstrecke	0.0
Aalstrich	171.0
Aalstück	37.0
Aalsuppe	403.0
Aalteich	0.0
Aaltreppe	1.0
Aaltöter	0.0
Aalverkäufer	27.0
Aalverlust	0.0
Aalverordnung	15.0
Aalwanderung	28.0
Aalweber	26.0
Aalweg	0.0
Aalweibchen	0.0
Aalwetter	0.0
Aalwirtschaft	0.0
Aalwisch	0.0
Aalwoche	5.0
Aalwürfel	202.0
Aalzange	0.0
Aalzeit	1.0
Aalzucht	15.0
Aar	17376.0
Aas	5045.0
Aasbande	0.0
Aasberg	2.0
Aasbestie	0.0
Aasblume	33.0
Aasdrache	0.0
Aasdrachen	0.0
Aaseiche	0.0
Aasesser	0.0
Aasfliege	80.0
Aasfraß	3.0
Aasfresser	1846.0
Aasgeier	1290.0
Aasgeruch	263.0
Aasgestank	19.0
Aasgier	0.0
Aasinsekt	0.0
Aasjäger	4.0
Aaskarte	0.0
Aasknochen	0.0
Aaskriecher	0.0
Aaskrähe	252.0
Aaskäfer	111.0
Aasland	79.0
Aasmann	47.0
Aasmund	19.0
Aaspflanze	0.0
Aasrank	0.0
Aasrest	1.0
Aasschwarm	0.0
Aasseite	1.0
Aasvogel	49.0
Aaswind	0.0
Abart	1566.0
Abartung	2.0
Abbau	248424.0
Abberufung	14650.0
Abberufungsantrag	148.0
Abberufungsbefehl	0.0
Abberufungsbescheid	2.0
Abberufungsbeschluss	25.0
Abberufungsentscheidung	1.0
Abberufungsgrund	24.0
Abberufungsklausel	1.0
Abberufungskompetenz	1.0
Abberufungsmöglichkeit	11.0
Abberufungsrecht	11.0
Abberufungsreferendum	62.0
Abberufungsschutz	0.0
Abberufungsverfahren	154.0
Abberufungsverlangen	7.0
Abberufungswahl	0.0
Abbestellung	5055.0
Abbild	33977.0
Abbildbegriff	0.0
Abbildbereich	0.0
Abbildbeziehung	0.0
Abbildebene	0.0
Abbildende	38.0
Abbilderstellung	0.0
Abbildgenauigkeit	0.0
Abbildleistung	0.0
Abbildmodell	0.0
Abbildname	0.0
Abbildqualität	3.0
Abbildrealismus	21.0
Abbildtreue	8.0
Abbildung	70658.0
Abbildungleistung	0.0
Abbildungsabsicht	0.0
Abbildungsanhang	0.0
Abbildungsanspruch	0.0
Abbildungsapparat	0.0
Abbildungsart	14.0
Abbildungsaufgabe	0.0
Abbildungsbedingung	0.0
Abbildungsbegriff	1.0
Abbildungsbeispiel	0.0
Abbildungsbereich	0.0
Abbildungsbeschreibung	0.0
Abbildungsbeziehung	0.0
Abbildungsbreite	2.0
Abbildungscharakteristik	0.0
Abbildungsdatum	0.0
Abbildungsebene	2.0
Abbildungseigenschaft	31.0
Abbildungsergebnis	0.0
Abbildungserklärung	0.0
Abbildungserlaubnis	0.0
Abbildungsfaktor	0.0
Abbildungsfehler	114.0
Abbildungsfeld	0.0
Abbildungsfenster	0.0
Abbildungsfläche	6.0
Abbildungsform	24.0
Abbildungsformat	0.0
Abbildungsformel	0.0
Abbildungsfrage	0.0
Abbildungsfreiheit	2.0
Abbildungsfähigkeit	0.0
Abbildungsfülle	0.0
Abbildungsgebiet	0.0
Abbildungsgegenstand	0.0
Abbildungsgenauigkeit	26.0
Abbildungsgenehmigung	0.0
Abbildungsgeometrie	1.0
Abbildungsgerechtigkeit	2.0
Abbildungsgerät	0.0
Abbildungsgesetz	0.0
Abbildungsgleichung	0.0
Abbildungsgrad	0.0
Abbildungsgrenze	0.0
Abbildungsgruppe	0.0
Abbildungsgröße	11.0
Abbildungsgüte	7.0
Abbildungshinweis	0.0
Abbildungshöhe	0.0
Abbildungsinstrument	0.0
Abbildungsintensität	0.0
Abbildungskatalog	0.0
Abbildungskegel	0.0
Abbildungskette	0.0
Abbildungskontrast	0.0
Abbildungskonzept	0.0
Abbildungskraft	1.0
Abbildungskreis	0.0
Abbildungslegende	0.0
Abbildungsleistung	51.0
Abbildungsleitung	0.0
Abbildungslinse	0.0
Abbildungsmaterial	15.0
Abbildungsmatrize	0.0
Abbildungsmechanismus	1.0
Abbildungsmedium	4.0
Abbildungsmodell	0.0
Abbildungsmodus	0.0
Abbildungsmuster	0.0
