comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
land_kreis	Landkreis	2038715	land	8929250	1167	8175931	kreis	2731589
land_+es_regierung	Landesregierung	777779	land	8929250	1167	8175931	regierung	2648830
land_gericht	Landgericht	576177	land	8929250	1167	8175931	gericht	1784349
land_wirt	Landwirt	457461	land	8929250	1167	8175931	wirt	157625
land_+es_verband	Landesverband	210578	land	8929250	1167	8175931	verband	1138891
land_+es_gericht	Landesgericht	7158	land	8929250	1167	8175931	gericht	1784349
land_straße	Landstraße	155117	land	8929250	1167	8175931	straße	5466398
land_+es_kirche	Landeskirche	77652	land	8929250	1167	8175931	kirche	2553981
land_+es_liga	Landesliga	228109	land	8929250	1167	8175931	liga	911116
land_strich	Landstrich	37768	land	8929250	1167	8175931	strich	298154
land_+es_ebene	Landesebene	67334	land	8929250	1167	8175931	ebene	468310
land_haus	Landhaus	34076	land	8929250	1167	8175931	haus	6907268
land_+es_grenze	Landesgrenze	58359	land	8929250	1167	8175931	grenze	1616592
land_+=er_spiel	Länderspiel	134322	land	8929250	1167	8175931	spiel	5073662
land_tag	Landtag	725126	land	8929250	1167	8175931	tag	11101971
land_+es_meisterschaft	Landesmeisterschaft	100179	land	8929250	1167	8175931	meisterschaft	600675
land_+es_vorstand	Landesvorstand	45966	land	8929250	1167	8175931	vorstand	1390728
land_+es_museum	Landesmuseum	68914	land	8929250	1167	8175931	museum	1615048
land_+es_teil	Landesteil	30767	land	8929250	1167	8175931	teil	4304832
land_+es_sprache	Landessprache	14224	land	8929250	1167	8175931	sprache	1028674
land_+s_mann	Landsmann	87551	land	8929250	1167	8175931	mann	8392866
land_+es_behörde	Landesbehörde	26657	land	8929250	1167	8175931	behörde	1429196
land_+es_betrieb	Landesbetrieb	95969	land	8929250	1167	8175931	betrieb	1878468
land_+es_anstalt	Landesanstalt	17220	land	8929250	1167	8175931	anstalt	101773
land_+es_zentrale	Landeszentrale	27713	land	8929250	1167	8175931	zentrale	158371
land_frau	Landfrau	98170	land	8929250	1167	8175931	frau	9838661
land_+es_politik	Landespolitik	46901	land	8929250	1167	8175931	politik	2320757
land_+es_recht	Landesrecht	7649	land	8929250	1167	8175931	recht	1451399
land_+es_meister	Landesmeister	52288	land	8929250	1167	8175931	meister	857858
land_bevölkerung	Landbevölkerung	10722	land	8929250	1167	8175931	bevölkerung	1077918
land_gut	Landgut	13092	land	8929250	1167	8175931	gut	425955
land_+es_straße	Landesstraße	94338	land	8929250	1167	8175931	straße	5466398
land_+es_liste	Landesliste	31938	land	8929250	1167	8175931	liste	646620
land_+es_mittel	Landesmittel	31238	land	8929250	1167	8175931	mittel	1037124
land_+es_verfassung	Landesverfassung	21745	land	8929250	1167	8175931	verfassung	334900
land_weg	Landweg	15514	land	8929250	1167	8175931	weg	5133691
land_zunge	Landzunge	5031	land	8929250	1167	8175931	zunge	104184
land_+es_gruppe	Landesgruppe	11590	land	8929250	1167	8175931	gruppe	2849144
land_leben	Landleben	17539	land	8929250	1167	8175931	leben	5506906
land_+es_gesetz	Landesgesetz	15497	land	8929250	1167	8175931	gesetz	1456035
land_jugend	Landjugend	14905	land	8929250	1167	8175931	jugend	974811
land_gang	Landgang	7810	land	8929250	1167	8175931	gang	651741
land_sitz	Landsitz	13956	land	8929250	1167	8175931	sitz	588548
land_arbeiter	Landarbeiter	7773	land	8929250	1167	8175931	arbeiter	349788
land_nutzung	Landnutzung	4207	land	8929250	1167	8175931	nutzung	576938
land_+es_parlament	Landesparlament	26390	land	8929250	1167	8175931	parlament	872773
land_+es_verwaltung	Landesverwaltung	13930	land	8929250	1167	8175931	verwaltung	1174574
land_hotel	Landhotel	12646	land	8929250	1167	8175931	hotel	1252699
land_+es_verteidigung	Landesverteidigung	6391	land	8929250	1167	8175931	verteidigung	247925
land_+es_ausstellung	Landesausstellung	15692	land	8929250	1167	8175931	ausstellung	2116581
land_+es_geschichte	Landesgeschichte	5952	land	8929250	1167	8175931	geschichte	3706026
land_+es_währung	Landeswährung	12147	land	8929250	1167	8175931	währung	193765
land_+=er_grenze	Ländergrenze	11120	land	8929250	1167	8175931	grenze	1616592
land_+es_archiv	Landesarchiv	5535	land	8929250	1167	8175931	archiv	347470
land_+es_institut	Landesinstitut	6347	land	8929250	1167	8175931	institut	1066729
land_gemeinde	Landgemeinde	6909	land	8929250	1167	8175931	gemeinde	3207775
land_+es_vertretung	Landesvertretung	17746	land	8929250	1167	8175931	vertretung	173418
land_fläche	Landfläche	3975	land	8929250	1167	8175931	fläche	994291
land_+es_durchschnitt	Landesdurchschnitt	22910	land	8929250	1167	8175931	durchschnitt	322549
land_mine	Landmine	7914	land	8929250	1167	8175931	mine	57446
land_+es_planung	Landesplanung	9772	land	8929250	1167	8175931	planung	863387
land_masse	Landmasse	3165	land	8929250	1167	8175931	masse	291161
land_+s_knecht	Landsknecht	5046	land	8929250	1167	8175931	knecht	38813
land_+es_fläche	Landesfläche	6960	land	8929250	1167	8175931	fläche	994291
land_besitz	Landbesitz	2452	land	8929250	1167	8175931	besitz	304879
land_+es_entwicklung	Landesentwicklung	10530	land	8929250	1167	8175931	entwicklung	2347495
land_+=er_ebene	Länderebene	7497	land	8929250	1167	8175931	ebene	468310
land_+es_trainer	Landestrainer	12497	land	8929250	1167	8175931	trainer	3204715
land_+es_hauptmann	Landeshauptmann	7895	land	8929250	1167	8175931	hauptmann	67117
land_recht	Landrecht	1949	land	8929250	1167	8175931	recht	1451399
land_+es_stiftung	Landesstiftung	10646	land	8929250	1167	8175931	stiftung	872995
land_+=er_vergleich	Ländervergleich	12137	land	8929250	1167	8175931	vergleich	1415950
land_arzt	Landarzt	12388	land	8929250	1167	8175931	arzt	1440751
land_flucht	Landflucht	6480	land	8929250	1167	8175931	flucht	448133
land_+es_sieger	Landessieger	10054	land	8929250	1167	8175931	sieger	652528
land_+es_politiker	Landespolitiker	22124	land	8929250	1167	8175931	politiker	1300001
land_marke	Landmarke	5402	land	8929250	1167	8175931	marke	663106
land_+es_finale	Landesfinale	13433	land	8929250	1167	8175931	finale	814728
land_+es_direktion	Landesdirektion	23127	land	8929250	1167	8175931	direktion	25673
land_+es_stelle	Landesstelle	5091	land	8929250	1167	8175931	stelle	1639478
land_+es_zuschuss	Landeszuschuss	24601	land	8929250	1167	8175931	zuschuss	489221
land_+es_rat	Landesrat	2029	land	8929250	1167	8175931	rat	993246
land_+es_vater	Landesvater	20824	land	8929250	1167	8175931	vater	2240091
land_+es_zeitung	Landeszeitung	3981	land	8929250	1167	8175931	zeitung	2289159
land_+=er_kammer	Länderkammer	20237	land	8929250	1167	8175931	kammer	221453
land_+=er_sache	Ländersache	8719	land	8929250	1167	8175931	sache	2343509
land_+es_klasse	Landesklasse	80490	land	8929250	1167	8175931	klasse	1701541
land_+es_initiative	Landesinitiative	5414	land	8929250	1167	8175931	initiative	974169
land_technik	Landtechnik	10424	land	8929250	1167	8175931	technik	1027504
land_+es_ausschuss	Landesausschuss	4008	land	8929250	1167	8175931	ausschuss	765369
land_gestüt	Landgestüt	11210	land	8929250	1167	8175931	gestüt	22068
land_besitzer	Landbesitzer	4437	land	8929250	1167	8175931	besitzer	512454
land_+es_verrat	Landesverrat	7612	land	8929250	1167	8175931	verrat	55985
land_+es_chef	Landeschef	40290	land	8929250	1167	8175931	chef	1560774
land_mann	Landmann	31533	land	8929250	1167	8175931	mann	8392866
land_+es_ministerium	Landesministerium	6445	land	8929250	1167	8175931	ministerium	604645
land_+es_entscheid	Landesentscheid	9073	land	8929250	1167	8175931	entscheid	23566
land_+es_versammlung	Landesversammlung	3109	land	8929250	1167	8175931	versammlung	344570
land_+es_bühne	Landesbühne	42420	land	8929250	1167	8175931	bühne	1843048
land_volk	Landvolk	5141	land	8929250	1167	8175931	volk	799247
land_ratte	Landratte	3717	land	8929250	1167	8175931	ratte	74978
land_partie	Landpartie	10620	land	8929250	1167	8175931	partie	1630193
